Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Retail,Medium,162.0,Top Quartile,219,Top Quartile,147,Top Quartile,1996,Platinum,Existing Non-Residental Buildings ENRB: 2017,"11,329","10,551",93%,0,Water Cooled Chilled Water Plant,1.0,0.6
Educational Institution,Univerisity,,53.0,,54,,63,,2015,,,"24,157","7,907",33%,0,Others,0.0,0.73
Commercial Building,Mixed Development,Small,192.13,,0,,0,,1968,,,"6,508",0,0%,0,,4.0,0.0
Commercial Building,Hotel,,169.0,Top Quartile,184,Top Quartile,197,Top Quartile,1986,GoldPlus,Existing Building for Non-Residential buildings (version 3),"54,042","42,053",78%,515,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Office,Medium,130.0,2nd Quartile,120,2nd Quartile,114,2nd Quartile,1995,,,"10,943","7,432",68%,0,Water Cooled Chilled Water Plant,26.0,0.0
Commercial Building,Hotel,Small,229.8,,0,,0,,2020,,,"43,360",0,0%,0,,10.0,0.0
Commercial Building,Retail,Large,180.0,Top Quartile,194,Top Quartile,213,2nd Quartile,2015,Platinum,New Building for Non-Residential buildings (version 3),"11,893","29,991",252%,0,Water Cooled Chilled Water Plant,7.0,0.84
Commercial Building,Retail,Medium,165.0,Top Quartile,178,Top Quartile,203,Top Quartile,2015,,,"5,003","4,800",96%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,170.33,,0,,0,,1998,GoldPlus,Existing Building for Non-Residential buildings (version 3),"19,566",0,0%,0,,0.0,0.0
Commercial Building,Office,Large,145.29,,0,,0,,2011,Platinum,Existing Building for Non-Residential buildings (version 3),"1,45,650",0,0%,0,,12.0,0.0
Commercial Building,Office,Omit,89.09,,0,,0,,1911,Platinum,Existing Building for Non-Residential buildings (version 3),"27,838",0,0%,0,,8.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,134.0,,129,,133,,2016,,,"5,500",593,11%,0,Others,0.0,0.0
Commercial Building,Office,Medium,39.0,Top Quartile,43,Top Quartile,40,Top Quartile,2016,,,"5,530",689,12%,0,Others,0.0,0.0
Educational Institution,ITE/ Polytechnic,,0.0,,0,,0,,2004,GoldPlus,Existing Building for Non-Residential buildings (version 3),"11,587","2,053",42%,0,Others,0.0,0.0
Commercial Building,Office,Large,138.0,2nd Quartile,130,2nd Quartile,136,2nd Quartile,1998,Platinum,Existing Building for Non-Residential buildings (version 3),"53,825","50,622",94%,0,Water Cooled Chilled Water Plant,7.0,0.6
Commercial Building,Office,Large,92.0,Top Quartile,94,Top Quartile,96,Top Quartile,1976,Platinum,GM:2021 In Operation,"43,000","41,000",95%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Medium,165.0,3rd Quartile,141,2nd Quartile,136,2nd Quartile,1998,Certified,Existing Non-Residental Buildings ENRB: 2017,"9,673","8,369",87%,0,Air Cooled Chilled Water Plant,0.0,0.96
Sports & Recreation Centre,Sports Complex,,77.0,,88,,123,,1989,,,"32,411","20,000",62%,0,Water Cooled Chilled Water Plant,19.0,0.91
Commercial Building,Mixed Development,Large,127.61,,0,,0,,1990,Platinum,Existing Building for Non-Residential buildings (version 3),"41,158",0,0%,0,,4.0,0.0
Commercial Building,Office,Medium,112.0,2nd Quartile,117,2nd Quartile,133,2nd Quartile,1995,,,"7,433","5,865",79%,0,Others,0.0,0.0
Educational Institution,Private School,,92.0,,85,,80,,1995,,,"9,093","2,785",50%,0,Others,0.0,0.0
Commercial Building,Office,Small,137.19,,0,,0,,1975,,,"7,200",0,0%,0,,11.0,0.0
Commercial Building,Office,Small,265.09,,0,,0,,1998,,,"8,908",0,0%,0,,2.0,0.0
Commercial Building,Hotel,,153.0,,153,,171,,2011,Gold,New Building for A/C buildings (version 2),"18,881","18,881",100%,351,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,93.81,,0,,0,,1979,Platinum,Existing Building for Non-Residential buildings (version 3),"22,930",0,0%,0,,7.0,0.0
Commercial Building,Office,Medium,216.0,3rd Quartile,212,3rd Quartile,220,2nd Quartile,1980,,,"7,372","7,163",97%,0,Others,0.0,0.0
Commercial Building,Office,Large,151.0,2nd Quartile,165,3rd Quartile,161,3rd Quartile,1989,,,"17,306","15,000",87%,0,Water Cooled Chilled Water Plant,20.0,0.0
Commercial Building,Office,Large,317.64,,0,,0,,1975,Gold,Existing Building for Non-Residential buildings (version 3),"40,939",0,0%,0,,2.0,0.0
Commercial Building,Retail,Small,599.43,,0,,0,,2008,Certified,Existing Building for Non-Residential buildings (version 3),"10,880",0,0%,0,,11.0,0.0
Commercial Building,Retail,Medium,180.0,Top Quartile,204,Top Quartile,200,Top Quartile,2003,,,"12,439","11,430",92%,0,Water Cooled Chilled Water Plant,20.0,0.0
Commercial Building,Mixed Development,,4.0,Top Quartile,246,3rd Quartile,248,3rd Quartile,1993,Platinum,Existing Building for Non-Residential buildings (version 3),"1,82,382","1,74,705",96%,0,Water Cooled Chilled Water Plant,7.0,0.62
"Civic, Community & Cultural Institution",Civic Institution,,69.0,,63,,67,,2004,Gold,Existing Non-Residental Buildings ENRB: 2017,"9,500","3,500",37%,0,Others,0.0,0.0
Commercial Building,Office,Small,94.93,,0,,0,,2011,Legislated,,757,0,0%,0,,9.0,0.0
Sports & Recreation Centre,Recreation Club,,440.0,,450,,460,,1998,,,"7,895","6,049",77%,0,Water Cooled Chilled Water Plant,26.0,1.52
Commercial Building,Office,Small,27.14,,0,,0,,2011,Legislated,,"2,677",0,0%,0,,9.0,0.0
Commercial Building,Retail,Large,292.09,,0,,0,,1983,GoldPlus,Existing Building for Non-Residential buildings (version 3),"40,749",0,0%,0,,6.0,0.0
Commercial Building,Office,Medium,139.0,2nd Quartile,129,2nd Quartile,134,2nd Quartile,1986,,,"10,926","7,985",73%,0,Water Cooled Chilled Water Plant,36.0,0.0
Commercial Building,Office,Medium,170.0,3rd Quartile,146,2nd Quartile,139,2nd Quartile,2012,,,"3,340","1,10,071",3295%,0,Others,0.0,0.0
Commercial Building,Office,Small,148.66,,0,,0,,2014,Platinum,New Building for Non-Residential buildings (version 4),"12,767",0,0%,0,,10.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,62.0,,63,,63,,2001,,,"6,235",496,8%,0,Others,0.0,0.0
Commercial Building,Retail,Large,71.0,Top Quartile,107,Top Quartile,98,Top Quartile,1991,,,"24,985","21,237",85%,0,Others,0.0,0.0
Commercial Building,Office,Small,315.98,,0,,0,,2001,,,"14,989",0,0%,0,,17.0,0.0
Commercial Building,Office,Medium,156.0,3rd Quartile,149,2nd Quartile,166,2nd Quartile,2005,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"10,891","9,574",88%,0,Air Cooled Chilled Water Plant,0.0,0.82
Commercial Building,Office,Medium,120.0,2nd Quartile,92,Top Quartile,95,Top Quartile,2011,,,"1,063",887,83%,0,Others,0.0,0.0
Commercial Building,Office,Medium,45.0,Top Quartile,48,Top Quartile,44,Top Quartile,2009,,,"6,691","3,316",50%,0,Others,0.0,0.0
Commercial Building,Retail,Small,430.47,,0,,0,,2011,,,"12,161",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,164.0,3rd Quartile,179,3rd Quartile,191,3rd Quartile,1975,GoldPlus,GM:2021 In Operation,"30,477","27,429",90%,0,Water Cooled Chilled Water Plant,0.0,0.629
Commercial Building,Hotel,,334.0,Bottom Quartile,374,Bottom Quartile,387,Bottom Quartile,2008,,,"5,020","5,021",100%,235,Others,0.0,0.0
Commercial Building,Retail,Large,240.0,2nd Quartile,271,2nd Quartile,261,2nd Quartile,1983,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"55,022","43,000",78%,0,Water Cooled Chilled Water Plant,16.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,66.0,,65,,77,,1996,,,"5,797",783,14%,0,Others,0.0,0.0
Commercial Building,Office,Large,172.11,,0,,0,,1988,Gold,Existing Building for Non-Residential buildings (version 3),"1,17,541",0,0%,0,,3.0,0.0
Commercial Building,Mixed Development,Large,225.74,,0,,0,,1988,Certified,Existing Building for Non-Residential buildings (version 3),"19,096",0,0%,0,,18.0,0.0
Commercial Building,Hotel,,203.0,2nd Quartile,188,Top Quartile,162,Top Quartile,2015,Platinum,New Building for Non-Residential buildings (version 4.1),"19,147","15,755",82%,557,Water Cooled Chilled Water Plant,7.0,0.62
Commercial Building,Mixed Development,Omit,229.67,,0,,0,,1995,Gold,New Building for Non-Residential buildings (version 4.1),"97,373",0,0%,0,,0.0,0.0
Commercial Building,Mixed Development,Large,133.48,,0,,0,,1984,,,"62,543",0,0%,0,,5.0,0.0
Commercial Building,Retail,Large,1.0,Top Quartile,1,Top Quartile,1,Top Quartile,2018,,,"6,14,910","2,02,973",33%,0,Others,0.0,0.0
Commercial Building,Hotel,,246.0,3rd Quartile,241,3rd Quartile,213,2nd Quartile,1998,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"19,720","12,584",64%,298,Water Cooled Chilled Water Plant,20.0,0.0
Commercial Building,Office,Small,173.4,,0,,0,,2015,,,"14,622",0,0%,0,,6.0,0.0
Sports & Recreation Centre,Recreation Club,,186.0,,206,,219,,2004,,,"15,949","13,770",86%,0,Others,0.0,0.0
Commercial Building,Office,Medium,83.0,Top Quartile,82,Top Quartile,83,Top Quartile,2014,,,"7,043","5,200",74%,0,Others,0.0,0.0
Commercial Building,Office,Small,122.18,,0,,0,,1980,,,"5,976",0,0%,0,,10.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,84.0,,79,,79,,2014,,,"6,870",680,10%,0,Others,0.0,0.0
Commercial Building,Hotel,Large,218.94,,0,,0,,1985,Gold,Existing Building for Non-Residential buildings (version 2.1),"21,089",0,0%,0,,15.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,62.0,,38,,34,,1995,Certified,Existing Non-Residential Buildings (ENRB: 2017),"3,01,318","18,965",6%,0,Others,0.0,0.0
Commercial Building,Office,Medium,86.0,Top Quartile,94,Top Quartile,93,Top Quartile,2018,,,"14,291","10,245",72%,0,Others,0.0,0.0
Commercial Building,Office,Medium,133.0,,96,,106,,1999,,,"9,000","8,200",91%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,107.02,,0,,0,,1978,,,"15,590",0,0%,0,,32.0,0.0
Commercial Building,Retail,Large,409.1,,0,,0,,2008,Gold,Existing Building for Non-Residential buildings (version 2.1),"19,146",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,296.0,,310,,311,,2012,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"31,539","28,385",90%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,0.0,,76,Top Quartile,103,Top Quartile,2021,,,"16,908",13,0%,0,Water Cooled Chilled Water Plant,2.0,0.601
Commercial Building,Office,Medium,178.0,,177,,179,,1987,,,"7,272","5,417",74%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Mixed Development,Large,189.7,,0,,0,,1970,,,"24,377",0,0%,0,,2.0,0.0
Commercial Building,Office,Omit,249.44,,0,,0,,2013,GoldPlus,New Building for Non-Residential buildings (version 4),"75,269",0,0%,0,,7.0,0.0
Commercial Building,Office,Small,119.99,,0,,0,,1974,,,"8,675",0,0%,0,,20.0,0.0
Commercial Building,Office,Large,183.0,3rd Quartile,167,3rd Quartile,127,2nd Quartile,1982,Platinum,Existing Non-Residental Buildings ENRB: 2017,"74,215","61,495",83%,0,Water Cooled Chilled Water Plant,7.0,0.63
Commercial Building,Retail,Medium,363.0,3rd Quartile,370,3rd Quartile,373,3rd Quartile,2001,,,"9,429","5,600",59%,0,Others,0.0,0.0
Commercial Building,Office,Large,128.24,,0,,0,,1992,GoldPlus,Existing Building for Non-Residential buildings (version 3),"26,866",0,0%,0,,1.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,80.0,,84,,81,,1995,,,"5,709",552,10%,0,Others,0.0,0.0
Commercial Building,Office,Large,129.0,2nd Quartile,123,2nd Quartile,127,2nd Quartile,1992,Platinum,Existing Non-Residental Buildings ENRB: 2017,"22,368","11,813",53%,0,Water Cooled Chilled Water Plant,4.0,0.63
Healthcare Facility,Community Hospital/ Nursing Home,,93.0,,93,,94,,2016,,,"12,900","1,489",12%,0,Others,0.0,0.0
Commercial Building,Office,Small,189.66,,0,,0,,1999,,,"10,417",0,0%,0,,1.0,0.0
Commercial Building,Office,Medium,212.0,3rd Quartile,241,Bottom Quartile,257,Bottom Quartile,1986,Gold,Existing Building for Non-Residential buildings (version 3),"10,678","9,000",84%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Retail,Small,248.72,,0,,0,,1984,,,"6,188",0,0%,0,,3.0,0.0
Commercial Building,Hotel,,324.0,Bottom Quartile,316,Bottom Quartile,365,Bottom Quartile,2017,,,"15,022","12,568",84%,537,Air Cooled Chilled Water Plant,0.0,1.55
Commercial Building,Office,Medium,95.0,Top Quartile,93,Top Quartile,98,Top Quartile,2020,,,"10,685","7,000",66%,0,Others,0.0,0.0
Commercial Building,Office,Medium,95.0,Top Quartile,59,Top Quartile,126,2nd Quartile,2011,,,757,755,100%,0,Others,0.0,0.0
Commercial Building,Office,Large,85.46,,0,,0,,2002,Gold,Existing Building for Non-Residential buildings (version 2.1),"19,225",0,0%,0,,16.0,0.0
Educational Institution,ITE/ Polytechnic,,107.0,,98,,94,,2005,Platinum,Existing Non-Residential Buildings (RECERT 2017),"1,30,424","8,098",3%,0,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Mixed Development,,192.0,2nd Quartile,194,2nd Quartile,213,2nd Quartile,1968,,,"6,508","5,881",90%,101,Others,0.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,15.0,,0,,15,,2003,,,"6,400",74,1%,0,Others,0.0,0.0
Commercial Building,Office,Large,328.68,,0,,0,,1981,,,"1,04,962",0,0%,0,,14.0,0.0
Commercial Building,Office,Small,129.78,,0,,0,,1999,,,"10,416",0,0%,0,,1.0,0.0
Commercial Building,Retail,Large,394.0,3rd Quartile,428,3rd Quartile,439,3rd Quartile,2006,Platinum,Existing Building for Non-Residential buildings (version 3),"1,42,850","1,35,860",95%,0,Water Cooled Chilled Water Plant,2.0,900.0
Commercial Building,Office,Large,106.92,,0,,0,,1984,Platinum,Existing Building for Non-Residential buildings (version 3),"20,180",0,0%,0,,8.0,0.0
Commercial Building,Industrial,Large,447.0,Bottom Quartile,459,Bottom Quartile,438,Bottom Quartile,1988,Platinum,Existing Non-Residential Buildings (RECERT 2017),"17,284","15,751",91%,0,Water Cooled Chilled Water Plant,3.0,0.584
Commercial Building,Office,Large,128.45,,0,,0,,1997,Gold,Existing Building for Non-Residential buildings (version 3),"36,837",0,0%,0,,1.0,0.0
Commercial Building,Hotel,,209.0,2nd Quartile,206,2nd Quartile,200,2nd Quartile,1973,Platinum,Existing Building for Non-Residential buildings (version 3),"37,570","26,873",72%,663,Water Cooled Chilled Water Plant,12.0,0.548
Commercial Building,Office,Medium,106.0,Top Quartile,113,2nd Quartile,103,Top Quartile,1996,,,"7,387","3,667",50%,0,Others,0.0,0.0
Commercial Building,Office,Large,413.0,,411,,424,,2006,Gold,GM:2021 In Operation,"12,960","10,000",77%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Retail,Small,103.95,,0,,0,,2011,Gold,New Building for A/C buildings (version 2),"8,599",0,0%,0,,0.0,0.0
Commercial Building,Retail,Small,228.47,,0,,0,,2016,,,"6,359",0,0%,0,,2.0,0.0
Commercial Building,Hotel,Small,230.34,,0,,0,,2008,,,"12,401",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,215.0,Bottom Quartile,208,Bottom Quartile,212,Bottom Quartile,2016,Platinum,New Building for Non-Residential buildings (version 4.1),"1,20,268","42,473",35%,0,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Retail,Large,145.0,Top Quartile,168,Top Quartile,163,Top Quartile,1983,,,"18,841","13,352",71%,0,Water Cooled Chilled Water Plant,19.0,0.0
Commercial Building,Office,Medium,189.0,3rd Quartile,208,3rd Quartile,211,2nd Quartile,2000,Gold,Existing Building for Non-Residential buildings (version 3),"9,811","9,809",100%,0,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Office,Large,128.0,2nd Quartile,125,2nd Quartile,129,2nd Quartile,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"26,020","20,206",78%,0,Water Cooled Chilled Water Plant,3.0,0.0
Commercial Building,Retail,Medium,516.0,Bottom Quartile,478,3rd Quartile,478,3rd Quartile,2014,,,"8,677","1,758",20%,0,Water Cooled Chilled Water Plant,8.0,0.63
Commercial Building,Hotel,Small,147.89,,0,,0,,1988,,,"7,141",0,0%,0,,2.0,0.0
Commercial Building,Hotel,Small,326.76,,0,,0,,2016,Platinum,New Building for Non-Residential buildings (version 4),"7,999",0,0%,0,,5.0,0.0
Commercial Building,Office,Small,100.56,,0,,0,,1998,Platinum,Existing Building for Non-Residential buildings (version 3),"9,882",0,0%,0,,2.0,0.0
Educational Institution,Private School,,116.0,,128,,108,,1951,,,"10,430","9,384",100%,0,District Cooling System (DCS),0.0,0.0
Sports & Recreation Centre,Recreation Club,,241.0,,252,,258,,2000,,,"11,745","2,593",22%,0,Others,0.0,0.0
Commercial Building,Office,Large,117.23,,0,,0,,1991,Platinum,Existing Building for Non-Residential buildings (version 3),"21,055",0,0%,0,,4.0,0.0
Sports & Recreation Centre,Recreation Club,,152.0,,163,,186,,1991,,,"5,726","2,000",35%,0,Others,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"1,13,150","1,08,000",95%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Medium,58.0,Top Quartile,87,Top Quartile,109,Top Quartile,1998,,,"7,386","6,950",94%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,,231.0,3rd Quartile,234,3rd Quartile,244,3rd Quartile,2012,,,"11,584","10,227",88%,285,Water Cooled Chilled Water Plant,10.0,0.8
Commercial Building,Office,Medium,115.0,2nd Quartile,98,Top Quartile,104,Top Quartile,2009,GoldPlus,New Building (version 1),"14,624","12,774",87%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Small,233.38,,0,,0,,1979,,,"2,644",0,0%,0,,6.0,0.0
Commercial Building,Hotel,Large,197.67,,0,,0,,2008,Certified,New Building for A/C buildings (version 2),"41,099",0,0%,0,,11.0,0.0
Commercial Building,Hotel,,240.0,3rd Quartile,221,3rd Quartile,285,Bottom Quartile,2010,,,"7,432","6,890",93%,202,Others,0.0,0.0
Commercial Building,Retail,Large,111.0,Top Quartile,116,Top Quartile,115,Top Quartile,1990,,,"26,671","24,094",90%,88,Water Cooled Chilled Water Plant,19.0,0.0
Commercial Building,Hotel,Small,509.62,,0,,0,,2015,,,"12,621",0,0%,0,,5.0,0.0
Commercial Building,Retail,Large,183.8,,0,,0,,1973,,,"23,076",0,0%,0,,0.0,0.0
Healthcare Facility,Specialist Clinic,,308.0,,295,,288,,1994,,,"10,767","10,766",100%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,162.63,,0,,0,,2006,,,"15,342",0,0%,0,,12.0,0.0
Commercial Building,Office,Medium,228.0,Bottom Quartile,243,Bottom Quartile,250,2nd Quartile,1980,,,"10,471","7,202",69%,0,Others,0.0,0.0
Commercial Building,Office,Large,122.55,,0,,0,,1998,Certified,Existing Building for Non-Residential buildings (version 2.1),"23,225",0,0%,0,,19.0,0.0
Commercial Building,Retail,Small,188.44,,0,,0,,1990,,,"12,349",0,0%,0,,23.0,0.0
Commercial Building,Hotel,Large,176.95,,0,,0,,2008,Certified,New Building for A/C buildings (version 2),"16,105",0,0%,0,,10.0,0.0
Healthcare Facility,Hospital,,226.0,,159,,151,,2001,,,"10,847","3,210",30%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,171.0,3rd Quartile,181,3rd Quartile,181,3rd Quartile,1997,,,"31,031","25,833",83%,0,Water-Cooled Package Units,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,71.0,,75,,76,,2018,,,"16,599","1,853",11%,0,Others,0.0,0.68
Commercial Building,Retail,Medium,249.0,2nd Quartile,247,2nd Quartile,297,2nd Quartile,1984,,,"6,188","4,800",78%,0,Others,0.0,0.0
Commercial Building,Office,Small,224.83,,0,,0,,1990,,,"8,975",0,0%,0,,11.0,0.0
Commercial Building,Office,Large,24.0,Top Quartile,30,Top Quartile,35,Top Quartile,1998,Gold,Existing Non-Residental Buildings ENRB: 2017,"2,372",0,0%,0,Others,0.0,0.0
Commercial Building,Office,Large,116.01,,0,,0,,2009,Gold,Existing Building for Non-Residential buildings (version 2.1),"18,565",0,0%,0,,10.0,0.0
Commercial Building,Retail,Large,321.0,,0,,0,,2005,Certified,Existing Building for Non-Residential buildings (version 3),"94,393",0,0%,0,,4.0,0.0
Commercial Building,Retail,Large,190.0,2nd Quartile,193,Top Quartile,191,2nd Quartile,1983,Gold,Existing Building for Non-Residential buildings (version 3),"16,747","14,500",87%,0,Water Cooled Chilled Water Plant,3.0,0.61
Sports & Recreation Centre,Recreation Club,,3.0,,4,,5,,0,,,"2,07,221",4,0%,0,Others,0.0,0.0
Commercial Building,Mixed Development,,249.0,3rd Quartile,252,3rd Quartile,241,3rd Quartile,1969,,,"38,986","30,308",78%,423,Water Cooled Chilled Water Plant,6.0,0.0
Commercial Building,Office,Large,154.0,2nd Quartile,154,2nd Quartile,163,3rd Quartile,2018,Platinum,New Building for Non-Residential buildings (version 4.1),"76,208","67,215",88%,0,Water Cooled Chilled Water Plant,4.0,0.582
Educational Institution,ITE/ Polytechnic,,125.0,,128,,123,,2004,Gold,Existing Non-Residential Buildings (RECERT 2017),"97,876","20,000",69%,0,Water Cooled Chilled Water Plant,1.0,0.65
Commercial Building,Mixed Development,Large,521.55,,0,,0,,2006,,,"31,616",0,0%,0,,12.0,0.0
Commercial Building,Mixed Development,Omit,193.93,,0,,0,,1986,,,"44,615",0,0%,0,,10.0,0.0
Commercial Building,Mixed Development,,191.0,2nd Quartile,228,3rd Quartile,243,3rd Quartile,2016,,,"13,284","1,000",8%,298,Water Cooled Chilled Water Plant,5.0,0.0
Educational Institution,ITE/ Polytechnic,,91.0,,95,,100,,2012,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"3,57,964","1,31,450",68%,0,Water Cooled Chilled Water Plant,10.0,0.6
Commercial Building,Office,Large,98.55,,0,,0,,2009,,,"19,916",0,0%,0,,11.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,163.0,,179,,164,,2004,,,"11,472","9,089",79%,0,Others,0.0,0.0
Commercial Building,Hotel,Large,269.52,,0,,0,,2010,,,"22,606",0,0%,0,,0.0,0.0
Commercial Building,Office,Medium,147.0,3rd Quartile,148,2nd Quartile,155,2nd Quartile,1996,Platinum,GM:2021 In Operation,"6,832","6,354",93%,0,Water Cooled Chilled Water Plant,4.0,0.52
Commercial Building,Retail,Large,152.57,,0,,0,,1982,GoldPlus,Existing Building for Non-Residential buildings (version 3),"22,331",0,0%,0,,5.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"18,784","18,784",100%,0,Water Cooled Chilled Water Plant,6.0,0.579
Commercial Building,Office,Large,493.0,,483,,457,,2014,Platinum,New Building for Non-Residential buildings (version 4.1),"40,880","35,333",86%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,385.0,Bottom Quartile,400,Bottom Quartile,407,Bottom Quartile,1998,Gold,GM:2021 In Operation,"26,417","22,930",87%,0,Others,0.0,0.76
Commercial Building,Office,Medium,115.0,2nd Quartile,111,Top Quartile,110,2nd Quartile,1999,,,"10,121","6,471",64%,0,Air Cooled Chilled Water Plant,0.0,0.9
Commercial Building,Office,Small,161.27,,0,,0,,1995,,,"10,403",0,0%,0,,9.0,0.0
Educational Institution,Private School,,131.0,,137,,144,,2013,Platinum,Existing Non-Residental Buildings ENRB: 2017,"29,887","2,02,800",686%,0,Water Cooled Chilled Water Plant,10.0,0.0
Sports & Recreation Centre,Recreation Club,,128.0,,136,,158,,1988,,,"14,030","10,743",77%,0,Others,0.0,0.0
Commercial Building,Office,Medium,137.0,2nd Quartile,397,Bottom Quartile,398,Bottom Quartile,2001,,,"10,555","10,552",100%,0,Others,0.0,0.0
Commercial Building,Retail,Small,459.87,,0,,0,,1999,Gold,Existing Building (version 2),"11,260",0,0%,0,,10.0,0.0
Commercial Building,Industrial,Large,246.0,Bottom Quartile,264,Bottom Quartile,267,Bottom Quartile,2013,GoldPlus,New Building for Non-Residential buildings (version 4),"45,637","30,912",68%,0,Water Cooled Chilled Water Plant,7.0,0.65
Sports & Recreation Centre,Recreation Club,,90.0,,58,,51,,2015,Platinum,Existing Building for Non-Residential buildings (version 3),"12,648","12,648",100%,0,Water Cooled Chilled Water Plant,8.0,380.0
Commercial Building,Retail,Large,441.97,,0,,0,,1981,,,"29,413",0,0%,0,,5.0,0.0
Commercial Building,Mixed Development,,155.0,Top Quartile,153,Top Quartile,197,2nd Quartile,1991,Platinum,Existing Building for Non-Residential buildings (version 3),"16,480","14,669",89%,0,Water Cooled Chilled Water Plant,5.0,0.59
Commercial Building,Office,Large,124.31,,0,,0,,1986,Certified,Existing Building for Non-Residential buildings (version 3),"33,736",0,0%,0,,2.0,0.0
Commercial Building,Hotel,Large,194.83,,0,,0,,1984,Platinum,Existing Building for Non-Residential buildings (version 3),"25,857",0,0%,0,,10.0,0.0
Commercial Building,Office,Large,165.19,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"27,076",0,0%,0,,10.0,0.0
Commercial Building,Office,Medium,181.0,3rd Quartile,190,3rd Quartile,186,2nd Quartile,2009,,,"7,016","6,694",95%,0,Others,0.0,0.0
Commercial Building,Industrial,Large,283.0,Bottom Quartile,266,Bottom Quartile,284,Bottom Quartile,1998,GoldPlus,Existing Building for Non-Residential buildings (version 3),"38,209","31,200",82%,0,Water Cooled Chilled Water Plant,5.0,0.6
Commercial Building,Office,Medium,66.0,Top Quartile,77,Top Quartile,77,Top Quartile,2012,,,"2,508","2,513",100%,0,Others,0.0,0.0
Commercial Building,Retail,Medium,366.0,3rd Quartile,363,3rd Quartile,338,3rd Quartile,2011,,,"5,096","4,777",94%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,222.0,Bottom Quartile,216,Bottom Quartile,206,Bottom Quartile,1989,,,"34,560","18,000",52%,0,Water Cooled Chilled Water Plant,3.0,0.0
Commercial Building,Office,Large,150.0,2nd Quartile,151,2nd Quartile,152,2nd Quartile,2017,Platinum,New Building for Non-Residential buildings (version 4),"28,189","26,779",95%,0,Water Cooled Chilled Water Plant,7.0,0.6
Commercial Building,Office,Medium,46.0,Top Quartile,39,Top Quartile,43,Top Quartile,2014,,,"13,000","6,000",46%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,184.0,3rd Quartile,187,3rd Quartile,194,3rd Quartile,1997,GoldPlus,Existing Building for Non-Residential buildings (version 3),"18,110","14,803",82%,0,Water Cooled Chilled Water Plant,6.0,0.0
Sports & Recreation Centre,Recreation Club,,183.0,,209,,217,,1994,,,"16,450","4,350",26%,0,Others,0.0,0.0
